strategy,book,rows,record_rows,settled,wins,losses,voids,pending,units_pl,roi_pct,clv_ref,clv_n,clv_median_pp,note,generated_at_utc
moneyline_flag_band,"SoftBook A, Sharp",700,700,627,290,337,28,45,-25.29,-4.03,Sharp,427,0.0,tracked record = every in-band flag; CLV cell = sharp-referee pairs only (odds-trust: referees never pooled; filter clv_ref for the soft-book pairs),2026-09-25 23:28
bo3_dog_plus_1_5_v0,Sharp,270,163,156,90,66,0,3,-13.813,-8.85,Sharp,155,0.18,,2026-09-25 23:28
bo3_fav_minus_1_5_v0,Sharp,274,172,162,66,96,0,5,-10.028,-6.19,Sharp,163,0.65,,2026-09-25 23:28
bo3_dog_plus_1_5_bookC_v0,SoftBook C,154,71,65,37,28,0,2,-10.0,-15.38,bookC_self,65,0.0,"n<100 settled -- too early to judge ROI, watch median CLV; results-only record; clv_pp vs the entry book's own close is informational, never a referee",2026-09-25 23:28
bo3_fav_minus_1_5_bookC_v0,SoftBook C,205,115,108,47,61,0,4,1.19,1.1,bookC_self,108,0.0,"results-only record; clv_pp vs the entry book's own close is informational, never a referee",2026-09-25 23:28
map1_specials_v1,Sharp,639,566,527,223,304,0,11,7.281,1.38,specials_hourly,341,0.11,"channel is flag-quarantined at policy level -- tracking record, not an endorsed edge",2026-09-25 23:28
map2_specials_v1,Sharp,615,540,502,158,344,8,10,-93.549,-18.64,specials_hourly,330,0.09,"channel is flag-quarantined at policy level -- tracking record, not an endorsed edge",2026-09-25 23:28
map3_specials_v1,Sharp,428,381,140,48,92,215,8,-23.487,-16.78,specials_hourly,248,0.0,"channel is flag-quarantined at policy level -- tracking record, not an endorsed edge",2026-09-25 23:28
